review_id,product_id,date,rating,sentiment,platform,comment
R100000,PC014,2024-10-16,4.6,Positive,Instagram,"Packaging bocor saat diterima, kurang aman."
R100001,PC012,2023-06-27,2.8,Negative,Instagram,"Mudah dibeli saat promo, value for money."
R100002,PC003,2022-10-21,3.2,Neutral,Shopee,"Mudah dibeli saat promo, value for money."
R100003,PC010,2025-03-07,2.0,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100004,PC015,2022-03-03,1.5,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100005,PC005,2021-08-20,4.9,Positive,Instagram,Kemasan baru lebih ramah lingkungan.
R100006,PC006,2020-04-23,3.1,Neutral,Instagram,"Harga sesuai, kualitas oke."
R100007,PC007,2020-10-31,1.5,Negative,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100008,PC010,2021-12-11,4.2,Positive,Instagram,"Harga sesuai, kualitas oke."
R100009,PC012,2024-06-24,2.0,Negative,Tokopedia,Wangi terlalu kuat untuk saya.
R100010,PC014,2025-01-13,3.8,Neutral,Shopee,"Harumnya tahan lama, suka banget!"
R100011,PC010,2025-07-06,2.8,Negative,Official Store,"Mudah dibeli saat promo, value for money."
R100012,PC006,2024-04-21,3.6,Neutral,Shopee,"Harumnya tahan lama, suka banget!"
R100013,PC013,2024-06-11,3.2,Neutral,Tokopedia,Wangi terlalu kuat untuk saya.
R100014,PC007,2020-04-14,3.3,Neutral,Instagram,Wangi terlalu kuat untuk saya.
R100015,PC006,2020-02-01,1.5,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100016,PC001,2021-11-16,4.9,Positive,Shopee,Kemasan baru lebih ramah lingkungan.
R100017,PC010,2024-08-06,4.2,Positive,Official Store,"Harumnya tahan lama, suka banget!"
R100018,PC014,2022-08-12,2.6,Negative,Tokopedia,"Mudah dibeli saat promo, value for money."
R100019,PC005,2025-05-04,2.0,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering."
R100020,PC003,2023-01-11,4.4,Positive,Shopee,Wangi terlalu kuat untuk saya.
R100021,PC004,2023-09-16,4.8,Positive,Tokopedia,"Harumnya tahan lama, suka banget!"
R100022,PC012,2023-07-12,4.8,Positive,Official Store,Kemasan baru lebih ramah lingkungan.
R100023,PC002,2023-06-15,1.5,Negative,Shopee,"Harga sesuai, kualitas oke."
R100024,PC011,2025-09-02,2.5,Negative,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100025,PC010,2021-03-30,2.1,Negative,Official Store,"Packaging bocor saat diterima, kurang aman."
R100026,PC014,2020-02-10,1.4,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100027,PC001,2023-12-13,2.5,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering."
R100028,PC014,2024-11-26,2.1,Negative,Official Store,"Kurang cocok di kulit saya, agak kering."
R100029,PC005,2022-02-05,4.7,Positive,Official Store,Kemasan baru lebih ramah lingkungan.
R100030,PC009,2024-11-02,2.1,Negative,Tokopedia,Wangi terlalu kuat untuk saya.
R100031,PC009,2023-06-04,3.3,Neutral,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100032,PC004,2022-03-29,4.1,Positive,Official Store,"Packaging bocor saat diterima, kurang aman."
R100033,PC014,2023-05-21,2.0,Negative,Instagram,Wangi terlalu kuat untuk saya.
R100034,PC007,2024-07-17,1.4,Negative,Shopee,"Harumnya tahan lama, suka banget!"
R100035,PC014,2022-12-28,2.6,Negative,Shopee,"Harga sesuai, kualitas oke."
R100036,PC003,2022-05-06,1.0,Negative,Shopee,"Harga sesuai, kualitas oke."
R100037,PC012,2022-02-19,4.8,Positive,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100038,PC004,2023-06-15,3.5,Neutral,Shopee,Wangi terlalu kuat untuk saya.
R100039,PC003,2023-08-18,3.2,Neutral,Shopee,Kemasan baru lebih ramah lingkungan.
R100040,PC005,2024-10-07,4.2,Positive,Shopee,Wangi terlalu kuat untuk saya.
R100041,PC010,2025-11-13,5.0,Positive,Tokopedia,Wangi terlalu kuat untuk saya.
R100042,PC003,2025-05-06,2.4,Negative,Tokopedia,"Packaging bocor saat diterima, kurang aman."
R100043,PC012,2024-02-22,4.3,Positive,Shopee,Wangi terlalu kuat untuk saya.
R100044,PC006,2020-07-04,3.8,Neutral,Tokopedia,"Harumnya tahan lama, suka banget!"
R100045,PC002,2025-05-16,1.6,Negative,Shopee,Wangi terlalu kuat untuk saya.
R100046,PC006,2025-12-10,2.5,Negative,Shopee,"Mudah dibeli saat promo, value for money."
R100047,PC004,2021-06-04,4.6,Positive,Shopee,Kemasan baru lebih ramah lingkungan.
R100048,PC004,2022-04-07,1.3,Negative,Shopee,Kemasan baru lebih ramah lingkungan.
R100049,PC006,2024-03-31,2.0,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100050,PC014,2022-12-19,1.0,Negative,Official Store,"Mudah dibeli saat promo, value for money."
R100051,PC010,2024-06-18,4.1,Positive,Instagram,"Harumnya tahan lama, suka banget!"
R100052,PC007,2024-06-29,3.3,Neutral,Tokopedia,"Harumnya tahan lama, suka banget!"
R100053,PC015,2022-11-16,1.3,Negative,Shopee,"Mudah dibeli saat promo, value for money."
R100054,PC005,2025-10-20,1.0,Negative,Official Store,Wangi terlalu kuat untuk saya.
R100055,PC013,2021-12-10,1.2,Negative,Shopee,"Harga sesuai, kualitas oke."
R100056,PC012,2020-06-11,3.2,Neutral,Official Store,"Harumnya tahan lama, suka banget!"
R100057,PC002,2020-12-31,1.9,Negative,Instagram,"Packaging bocor saat diterima, kurang aman."
R100058,PC001,2023-10-12,3.3,Neutral,Official Store,"Packaging bocor saat diterima, kurang aman."
R100059,PC009,2025-07-06,4.8,Positive,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100060,PC006,2022-09-29,3.5,Neutral,Official Store,"Kurang cocok di kulit saya, agak kering."
R100061,PC012,2023-11-24,2.6,Negative,Official Store,"Kurang cocok di kulit saya, agak kering."
R100062,PC012,2020-06-20,4.9,Positive,Official Store,"Harga sesuai, kualitas oke."
R100063,PC006,2020-03-12,2.1,Negative,Shopee,Kemasan baru lebih ramah lingkungan.
R100064,PC013,2024-02-15,1.7,Negative,Tokopedia,"Harga sesuai, kualitas oke."
R100065,PC013,2025-08-31,2.7,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100066,PC009,2022-07-09,4.7,Positive,Tokopedia,"Harga sesuai, kualitas oke."
R100067,PC013,2020-12-28,2.6,Negative,Tokopedia,"Harumnya tahan lama, suka banget!"
R100068,PC002,2025-12-12,1.6,Negative,Shopee,"Kurang cocok di kulit saya, agak kering."
R100069,PC015,2022-05-14,4.3,Positive,Shopee,Wangi terlalu kuat untuk saya.
R100070,PC001,2022-10-28,2.7,Negative,Shopee,Wangi terlalu kuat untuk saya.
R100071,PC007,2025-03-17,4.3,Positive,Instagram,Wangi terlalu kuat untuk saya.
R100072,PC006,2025-07-01,3.3,Neutral,Shopee,Wangi terlalu kuat untuk saya.
R100073,PC010,2025-02-12,2.0,Negative,Tokopedia,"Harumnya tahan lama, suka banget!"
R100074,PC014,2021-07-07,2.1,Negative,Official Store,"Mudah dibeli saat promo, value for money."
R100075,PC001,2024-01-17,3.5,Neutral,Official Store,"Packaging bocor saat diterima, kurang aman."
R100076,PC008,2020-02-18,3.0,Neutral,Tokopedia,"Mudah dibeli saat promo, value for money."
R100077,PC003,2023-02-18,4.4,Positive,Tokopedia,Kemasan baru lebih ramah lingkungan.
R100078,PC005,2020-07-13,4.2,Positive,Shopee,Memberikan hasil sesuai klaim after 2 weeks.
R100079,PC015,2020-03-04,4.0,Positive,Shopee,"Mudah dibeli saat promo, value for money."
R100080,PC002,2024-11-06,4.6,Positive,Official Store,Kemasan baru lebih ramah lingkungan.
R100081,PC002,2022-02-10,3.4,Neutral,Tokopedia,"Packaging bocor saat diterima, kurang aman."
R100082,PC011,2020-07-19,3.9,Neutral,Shopee,"Mudah dibeli saat promo, value for money."
R100083,PC001,2024-09-20,2.6,Negative,Instagram,"Kurang cocok di kulit saya, agak kering."
R100084,PC003,2024-03-14,4.2,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100085,PC001,2022-12-18,2.0,Negative,Official Store,Wangi terlalu kuat untuk saya.
R100086,PC002,2023-09-27,2.4,Negative,Tokopedia,"Harga sesuai, kualitas oke."
R100087,PC011,2021-06-12,1.3,Negative,Shopee,"Packaging bocor saat diterima, kurang aman."
R100088,PC007,2023-07-10,2.6,Negative,Official Store,Memberikan hasil sesuai klaim after 2 weeks.
R100089,PC004,2021-02-04,2.4,Negative,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100090,PC003,2023-02-07,4.9,Positive,Shopee,"Kurang cocok di kulit saya, agak kering."
R100091,PC003,2020-03-30,1.7,Negative,Official Store,"Kurang cocok di kulit saya, agak kering."
R100092,PC013,2020-03-10,3.2,Neutral,Shopee,"Harumnya tahan lama, suka banget!"
R100093,PC012,2021-03-29,2.5,Negative,Tokopedia,"Kurang cocok di kulit saya, agak kering."
R100094,PC013,2021-12-08,1.4,Negative,Instagram,"Harumnya tahan lama, suka banget!"
R100095,PC006,2020-06-28,4.5,Positive,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100096,PC013,2020-01-06,4.5,Positive,Official Store,"Harumnya tahan lama, suka banget!"
R100097,PC003,2021-02-09,1.8,Negative,Instagram,Memberikan hasil sesuai klaim after 2 weeks.
R100098,PC006,2021-06-03,4.0,Positive,Tokopedia,Memberikan hasil sesuai klaim after 2 weeks.
R100099,PC002,2024-07-02,1.1,Negative,Official Store,"Harga sesuai, kualitas oke."
R100100,PC007,2024-02-20,4.4,Positive,Instagram,"Packaging bocor saat diterima, kurang aman."
R100101,PC012,2020-08-23,2.8,Negative,Instagram,"Harga sesuai, kualitas oke."
R100102,PC015,2020-08-18,3.9,Neutral,Official Store,"Kurang cocok di kulit saya, agak kering."
